KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
3049  234.95   49.93    0.30    0.50  13  14.600   8.673   5.927
1170  274.85   81.08    0.15    0.00  2   9.227   8.638   0.589
4045  286.86   45.39    1.21    0.47  23  12.989   8.126   4.863
4032  291.79   49.27    0.30    0.29  19  11.882   8.191   3.691
1218  269.42   74.90    0.00    0.00  1   8.751   8.751   0.000
1178  270.67   78.34    0.87    0.35  2   9.158   8.876   0.282
1241  257.53   75.57    0.50    0.03  3  10.719   8.640   2.079
1474  292.21   62.22    0.13    0.01  2   8.847   8.035   0.812
5144  289.25   53.51    0.00    0.00  1   8.826   8.826   0.000
1462  291.80   63.24    0.38    0.05  10  10.025   8.303   1.722
1639  275.47   51.93    0.00    0.00  1   8.276   8.276   0.000
3036  229.09   54.46    0.12    0.04  8  14.417   8.895   5.522
1152  274.62   77.29    0.00    0.00  1   8.490   8.490   0.000
3065  236.10   45.50    0.00    0.00  2   9.334   8.745   0.589
1240  259.95   76.45    0.00    0.00  5   8.836   8.114   0.722
3017  215.33   60.29    0.95    0.25  4  14.430   8.508   5.922
1446  294.99   68.05    0.14    0.01  3  10.245   8.891   1.354
1475  291.53   62.27    0.36    0.06  3   9.195   8.297   0.898
1157  273.12   78.57    0.55    0.13  3   9.684   8.769   0.915
4107  285.99   40.74    0.00    0.04  5  10.863   8.521   2.342
1173  268.68   80.83    1.53    0.38  3   8.839   8.047   0.792
3034  226.38   55.44    0.05    0.12  3   9.124   8.788   0.336
1150  270.05   77.27    0.00    0.00  1   8.420   8.420   0.000
3032  226.62   55.91    0.92    0.87  12  10.688   8.169   2.519
1677  246.69   67.66    0.02    0.03  3  10.410   8.304   2.106
3025  224.11   58.97    0.60    0.39  7  15.563   8.663   6.900
1473  292.63   62.13    0.02    0.01  4  10.563   8.548   2.015
4042  285.36   45.12    1.18    0.48  17  13.324   8.378   4.946
1163  277.62   80.12    0.47    0.15  2   8.807   8.542   0.265
3060  236.00   46.90    0.00    0.00  4  10.094   8.343   1.751
1172  270.39   81.22    1.22    0.22  3   9.170   8.769   0.401
3016  215.53   60.21    0.02    0.04  2  17.401   8.513   8.888
1425  285.70   71.90    0.00    0.00  1   8.846   8.846   0.000
3057  236.53   48.48    0.30    0.30  28  14.965   8.575   6.390
3022  222.38   58.61    0.20    0.14  4  10.328   8.255   2.073
3041  227.79   53.73    1.29    1.51  33  18.410   8.202  10.208
3038  229.78   54.32    0.45    0.39  13  14.968   8.524   6.444
4010  311.23   46.14    0.58    2.20  4  14.682   8.312   6.370
1323  258.06   72.99    0.07    0.26  4  10.596   8.738   1.858
1327  254.98   69.95    0.48    0.28  5   9.359   8.563   0.796
1162  278.06   79.94    1.04    0.08  3   8.406   8.090   0.316
1185  269.83   79.27    0.16    0.02  5   9.025   8.037   0.988
4012  305.88   47.03    0.00    0.00  1   8.449   8.449   0.000
4011  306.34   46.99    0.08    0.18  2   8.419   8.408   0.011
1428  287.90   71.56    0.44    0.07  2  10.776   8.434   2.342
4128  284.43   35.46    0.00    0.00  3   9.572   8.154   1.418
1256  244.24   75.66    3.75    0.88  3  13.317   8.735   4.582
1183  266.13   79.02    0.00    0.00  1   8.907   8.907   0.000
1103  278.05   82.03    0.00    0.01  3   9.103   8.338   0.765
1673  252.75   67.34    0.66    0.17  2   8.745   8.710   0.035
1149  271.66   77.03    1.27    0.18  2   9.218   8.266   0.952
3051  237.28   49.14    0.80    0.30  16  14.640   8.170   6.470
1205  269.51   76.77    0.00    0.00  1   8.051   8.051   0.000
